Date,Time,Ticker,Event_Type,Score,Decision,Articles_Analyzed,Key_Findings,Entry_Price,Exit_Price,Outcome_Pct
2025-11-10,08:45:55,NVDA,VALIDATION,8,VALIDATED-LOW,20,FRESH earnings (0-2 days); STRONG momentum (20 articles in 24h),,,
2025-11-10,08:45:55,PLTR,VALIDATION,8,VALIDATED-LOW,20,FRESH earnings (0-2 days); STRONG momentum (7 articles in 24h),,,
2025-11-10,08:45:55,META,VALIDATION,6,VALIDATED-LOW,20,FRESH upgrade (0-1 days); WEAK momentum (2 articles in 24h),,,
2025-11-10,08:45:55,CVX,VALIDATION,3,REJECTED,2,FADING momentum (no articles in 24h),,,
2025-11-10,08:45:55,LLY,VALIDATION,3,REJECTED,13,FADING momentum (no articles in 24h),,,
2025-11-10,08:45:55,XOM,VALIDATION,4,REJECTED,3,WEAK momentum (2 articles in 24h),,,
2025-11-10,08:45:56,AMAT,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,08:45:56,ABBV,VALIDATION,6,VALIDATED-LOW,6,FRESH upgrade (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,08:45:56,COIN,VALIDATION,3,REJECTED,2,FADING momentum (no articles in 24h),,,
2025-11-10,08:45:56,NOW,VALIDATION,5,VALIDATED-LOW,1,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,15:55:46,NVDA,VALIDATION,15,VALIDATED-HIGH,20,"FRESH earnings (0-2 days); STRONG momentum (20 articles in 24h); MULTI-CATALYST: contract, upgrade",,,
2025-11-10,15:55:46,PLTR,VALIDATION,9,VALIDATED-LOW,20,FRESH earnings (0-2 days); STRONG momentum (5 articles in 24h),,,
2025-11-10,15:55:46,AVGO,VALIDATION,6,VALIDATED-LOW,14,FRESH earnings (0-2 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,15:55:47,ANET,VALIDATION,3,REJECTED,1,FADING momentum (no articles in 24h),,,
2025-11-10,15:55:47,SMCI,VALIDATION,3,REJECTED,4,FADING momentum (no articles in 24h),,,
2025-11-10,15:55:47,COIN,VALIDATION,3,REJECTED,2,FADING momentum (no articles in 24h),,,
2025-11-10,15:55:47,GE,VALIDATION,5,VALIDATED-LOW,1,FRESH upgrade (0-1 days); FADING momentum (no articles in 24h),,,
2025-11-10,15:55:47,CAT,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,15:55:47,XOM,VALIDATION,11,VALIDATED-MEDIUM,4,"MODERATE momentum (3 articles in 24h); MULTI-CATALYST: fda, contract",,,
2025-11-10,15:55:47,SHOP,VALIDATION,5,VALIDATED-LOW,7,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,15:59:24,NVDA,VALIDATION,15,VALIDATED-HIGH,20,"FRESH earnings (0-2 days); STRONG momentum (20 articles in 24h); MULTI-CATALYST: upgrade, contract",,,
2025-11-10,15:59:24,PLTR,VALIDATION,9,VALIDATED-LOW,20,FRESH earnings (0-2 days); STRONG momentum (5 articles in 24h),,,
2025-11-10,15:59:25,COIN,VALIDATION,5,VALIDATED-LOW,2,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,15:59:25,XLE,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,15:59:25,CAT,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,15:59:25,SMCI,VALIDATION,3,REJECTED,4,FADING momentum (no articles in 24h),,,
2025-11-10,15:59:25,GS,VALIDATION,6,VALIDATED-LOW,4,FRESH earnings (0-2 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,15:59:25,AVGO,VALIDATION,4,REJECTED,14,WEAK momentum (1 articles in 24h),,,
2025-11-10,15:59:26,XOM,VALIDATION,11,VALIDATED-MEDIUM,4,"MODERATE momentum (3 articles in 24h); MULTI-CATALYST: fda, contract",,,
2025-11-10,15:59:26,ABBV,VALIDATION,5,VALIDATED-LOW,6,FRESH binary event (0-1 days); FADING momentum (no articles in 24h),,,
2025-11-10,18:13:48,LLY,VALIDATION,4,REJECTED,15,WEAK momentum (2 articles in 24h),,,
2025-11-10,18:13:48,AMD,VALIDATION,13,VALIDATED-MEDIUM,18,"FRESH earnings (0-2 days); MODERATE momentum (4 articles in 24h); MULTI-CATALYST: contract, earnings",,,
2025-11-10,18:13:48,TSLA,VALIDATION,13,VALIDATED-MEDIUM,20,"STRONG momentum (6 articles in 24h); MULTI-CATALYST: upgrade, earnings",,,
2025-11-10,18:13:48,RIVN,VALIDATION,6,VALIDATED-LOW,7,MODERATE momentum (3 articles in 24h),,,
2025-11-10,18:13:48,GOOG,VALIDATION,11,VALIDATED-MEDIUM,20,"STRONG momentum (6 articles in 24h); MULTI-CATALYST: earnings, breakout, contract",,,
2025-11-10,18:13:48,MU,VALIDATION,3,REJECTED,5,WEAK momentum (2 articles in 24h),,,
2025-11-10,18:13:48,LRCX,VALIDATION,3,REJECTED,3,WEAK momentum (1 articles in 24h),,,
2025-11-10,18:13:49,DDOG,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,18:13:49,GM,VALIDATION,4,REJECTED,7,WEAK momentum (2 articles in 24h),,,
2025-11-10,18:13:49,HOOD,VALIDATION,5,VALIDATED-LOW,6,FRESH upgrade (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,19:38:00,LLY,VALIDATION,6,VALIDATED-LOW,15,FRESH earnings (0-2 days); WEAK momentum (2 articles in 24h),,,
2025-11-10,19:38:00,AMD,VALIDATION,13,VALIDATED-MEDIUM,18,"FRESH earnings (0-2 days); MODERATE momentum (4 articles in 24h); MULTI-CATALYST: contract, earnings",,,
2025-11-10,19:38:00,RIVN,VALIDATION,6,VALIDATED-LOW,7,MODERATE momentum (3 articles in 24h),,,
2025-11-10,19:38:00,GOOG,VALIDATION,11,VALIDATED-MEDIUM,20,"STRONG momentum (6 articles in 24h); MULTI-CATALYST: contract, earnings, breakout",,,
2025-11-10,19:38:00,DDOG,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,19:38:00,MU,VALIDATION,3,REJECTED,5,WEAK momentum (2 articles in 24h),,,
2025-11-10,19:38:01,LRCX,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,19:38:01,VLO,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,19:38:01,CRWD,VALIDATION,3,REJECTED,1,FADING momentum (no articles in 24h),,,
2025-11-10,19:38:01,SOFI,VALIDATION,4,REJECTED,3,WEAK momentum (1 articles in 24h),,,
2025-11-10,20:10:30,LLY,VALIDATION,6,VALIDATED-LOW,15,FRESH earnings (0-2 days); WEAK momentum (2 articles in 24h),,,
2025-11-10,20:10:30,AMD,VALIDATION,13,VALIDATED-MEDIUM,18,"FRESH earnings (0-2 days); MODERATE momentum (4 articles in 24h); MULTI-CATALYST: contract, earnings",,,
2025-11-10,20:10:30,RIVN,VALIDATION,6,VALIDATED-LOW,7,MODERATE momentum (3 articles in 24h),,,
2025-11-10,20:10:31,GOOG,VALIDATION,11,VALIDATED-MEDIUM,20,"STRONG momentum (6 articles in 24h); MULTI-CATALYST: contract, earnings, breakout",,,
2025-11-10,20:10:31,MU,VALIDATION,3,REJECTED,5,WEAK momentum (2 articles in 24h),,,
2025-11-10,20:10:31,DDOG,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,20:10:31,LRCX,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,20:10:31,HOOD,VALIDATION,5,VALIDATED-LOW,6,FRESH upgrade (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,20:10:31,GM,VALIDATION,4,REJECTED,7,WEAK momentum (2 articles in 24h),,,
2025-11-10,20:10:31,TSLA,VALIDATION,15,VALIDATED-HIGH,20,"FRESH upgrade (0-1 days); STRONG momentum (5 articles in 24h); MULTI-CATALYST: upgrade, earnings",,,
2025-11-10,22:03:27,LLY,VALIDATION,6,VALIDATED-LOW,15,FRESH upgrade (0-1 days); WEAK momentum (2 articles in 24h),,,
2025-11-10,22:03:28,AMD,VALIDATION,13,VALIDATED-MEDIUM,18,"FRESH earnings (0-2 days); MODERATE momentum (4 articles in 24h); MULTI-CATALYST: earnings, contract",,,
2025-11-10,22:03:28,RIVN,VALIDATION,6,VALIDATED-LOW,7,MODERATE momentum (3 articles in 24h),,,
2025-11-10,22:03:28,GOOG,VALIDATION,12,VALIDATED-MEDIUM,20,"STRONG momentum (8 articles in 24h); MULTI-CATALYST: earnings, contract, breakout",,,
2025-11-10,22:03:28,GM,VALIDATION,4,REJECTED,7,WEAK momentum (2 articles in 24h),,,
2025-11-10,22:03:28,DDOG,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-10,22:03:28,MU,VALIDATION,3,REJECTED,5,WEAK momentum (2 articles in 24h),,,
2025-11-10,22:03:28,LRCX,VALIDATION,5,VALIDATED-LOW,3,FRESH earnings (0-2 days); WEAK momentum (1 articles in 24h),,,
2025-11-10,22:03:29,XPEV,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-10,22:03:29,VLO,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,AMD,VALIDATION,11,VALIDATED-MEDIUM,13,"FRESH earnings (0-2 days); WEAK momentum (2 articles in 24h); MULTI-CATALYST: contract, earnings",,,
2025-11-11,08:46:05,BKD,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,BW,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,ARMN,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,ANAB,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,APYX,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:05,AMBA,VALIDATION,3,REJECTED,2,FADING momentum (no articles in 24h),,,
2025-11-11,08:46:05,BDTX,VALIDATION,5,VALIDATED-LOW,0,No recent news articles found,,,
2025-11-11,08:46:06,AXP,VALIDATION,4,REJECTED,8,WEAK momentum (2 articles in 24h),,,
2025-11-11,08:46:06,B,VALIDATION,3,REJECTED,1,FADING momentum (no articles in 24h),,,
2025-11-14,08:45:36,BIIB,VALIDATION,6,VALIDATED-LOW,1,FRESH binary event (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-17,08:45:57,AVDL,VALIDATION,6,VALIDATED-LOW,5,FRESH binary event (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-17,08:45:57,CDTX,VALIDATION,5,VALIDATED-LOW,1,FRESH binary event (0-1 days); FADING momentum (no articles in 24h),,,
2025-11-17,08:45:57,ARQT,VALIDATION,3,REJECTED,1,FRESH binary event (0-1 days); WEAK momentum (1 articles in 24h); ⚠️ Negative keyword: cut,,,
2025-11-17,09:13:31,AVDL,VALIDATION,6,VALIDATED-LOW,5,FRESH binary event (0-1 days); WEAK momentum (1 articles in 24h),,,
2025-11-17,09:13:31,CDTX,VALIDATION,5,VALIDATED-LOW,1,FRESH binary event (0-1 days); FADING momentum (no articles in 24h),,,
2025-11-17,09:13:31,ARQT,VALIDATION,3,REJECTED,1,FRESH binary event (0-1 days); WEAK momentum (1 articles in 24h); ⚠️ Negative keyword: cut,,,
2025-11-17,09:13:31,ALB,VALIDATION,5,VALIDATED-LOW,2,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
2025-11-17,09:13:32,AU,VALIDATION,5,VALIDATED-LOW,2,FRESH earnings (0-2 days); FADING momentum (no articles in 24h),,,
